Stock,Entry Time,Exit Time,Entry Price,Exit Price,Gain %
OIL,2025-11-11 15:00:00,2025-11-11 15:04:00,435.9,435.45,-0.10323468685478061
NAUKRI,2025-11-13 14:35:00,2025-11-13 14:40:00,1355.3,1353.9,-0.10329816276838069
GODREJPROP,2025-11-20 15:12:00,2025-11-20 15:17:00,2127.7,2125.5,-0.10339803543731815
UNIONBANK,2025-11-20 11:08:00,2025-11-20 11:15:00,154.69,154.53,-0.10343267179520112
CGPOWER,2025-11-20 12:26:00,2025-11-20 12:41:00,724.3,723.55,-0.10354825348612455
AXISBANK,2025-11-17 13:16:00,2025-11-17 13:22:00,1254.2,1252.9,-0.10365173018656948
MARUTI,2025-11-07 13:03:00,2025-11-07 13:07:00,15436.0,15420.0,-0.10365379632029023
JSWENERGY,2025-11-04 14:33:00,2025-11-04 14:45:00,530.4,529.85,-0.10369532428355101
HEROMOTOCO,2025-11-17 14:40:00,2025-11-17 14:44:00,5783.0,5777.0,-0.10375237765865468
KPITTECH,2025-11-06 14:09:00,2025-11-06 14:16:00,1153.9,1152.7,-0.10399514689314893
OIL,2025-11-04 15:18:00,2025-11-04 15:25:00,432.6,432.15,-0.10402219140084269
TCS,2025-11-21 14:12:00,2025-11-21 14:19:00,3165.1,3161.8,-0.10426210862215182
LT,2025-11-10 10:32:00,2025-11-10 10:37:00,3931.9,3927.8,-0.10427528675703626
HFCL,2025-11-13 13:44:00,2025-11-13 13:48:00,76.65,76.57,-0.10437051532943575
GMRAIRPORT,2025-11-14 14:12:00,2025-11-14 14:21:00,95.65,95.55,-0.10454783063252328
PHOENIXLTD,2025-11-24 10:28:00,2025-11-24 10:36:00,1719.8,1718.0,-0.10466333294568873
UNIONBANK,2025-11-21 13:57:00,2025-11-21 14:01:00,152.71,152.55,-0.10477375417457704
LICHSGFIN,2025-11-17 11:36:00,2025-11-17 11:38:00,571.35,570.75,-0.10501443948543322
ICICIPRULI,2025-11-20 13:34:00,2025-11-20 13:39:00,618.95,618.3,-0.10501656030375489
PETRONET,2025-11-03 12:58:00,2025-11-03 13:02:00,285.6,285.3,-0.10504201680672665
ANGELONE,2025-11-17 12:50:00,2025-11-17 13:05:00,2854.6,2851.6,-0.10509353324458769
HFCL,2025-11-17 13:36:00,2025-11-17 13:38:00,76.01,75.93,-0.10524930930140547
KOTAKBANK,2025-11-12 13:39:00,2025-11-12 13:44:00,2090.2,2088.0,-0.10525308582909856
HINDPETRO,2025-11-24 10:04:00,2025-11-24 10:07:00,473.5,473.0,-0.10559662090813093
SBIN,2025-11-04 12:48:00,2025-11-04 12:49:00,946.2,945.2,-0.1056859015007398
ANGELONE,2025-11-14 13:27:00,2025-11-14 13:33:00,2739.9,2737.0,-0.10584327895178988
KPITTECH,2025-11-17 12:45:00,2025-11-17 12:49:00,1227.0,1225.7,-0.10594947025264502
HINDUNILVR,2025-11-19 13:21:00,2025-11-19 13:25:00,2449.3,2446.7,-0.10615277834484806
LTIM,2025-11-06 09:15:00,2025-11-06 09:23:00,5651.0,5645.0,-0.10617589807113785
LODHA,2025-11-07 12:46:00,2025-11-07 12:51:00,1223.8,1222.5,-0.10622650759927721
HINDALCO,2025-11-18 14:24:00,2025-11-18 14:26:00,796.35,795.5,-0.10673698750549668
CGPOWER,2025-11-14 12:08:00,2025-11-14 12:13:00,748.7,747.9,-0.10685187658609165
HAL,2025-11-03 13:59:00,2025-11-03 14:04:00,4676.0,4671.0,-0.10692899914456801
IGL,2025-11-20 11:34:00,2025-11-20 11:40:00,205.52,205.3,-0.1070455430128449
