stock,date,entry_price,entry_idx,rsi,macd,signal,volume_ratio,range_position,conditions_met,conditions,exit_pct,exit_reason,pnl,capital
BSE,2025-11-26,2891.2,851,49.24623115577882,-0.8505116783867379,0.19809852978095835,2.1621621621621623,40.39215686274492,3,"{'rsi': np.True_, 'macd': False, 'volume': np.True_, 'range': True}",3.5279468732706145,EOD,705.5893746541229,20000
CAMS,2025-11-26,3972.5,846,55.01664289110793,1.902249541241872,0.7175230247617498,0.0,52.41128298453127,2,"{'rsi': np.False_, 'macd': True, 'volume': np.False_, 'range': True}",-0.6293266205160478,EOD,-125.86532410320957,20000
CANBK,2025-11-26,153.01,849,50.0,0.09453744939540343,0.01494070058206222,0.0,65.96958174904917,2,"{'rsi': np.True_, 'macd': True, 'volume': np.False_, 'range': False}",-1.0064701653486463,EOD,-201.29403306972927,20000
CDSL,2025-11-26,1627.1,854,50.643382352941124,-0.5978957550616997,-0.06190887657826034,8.0,60.23738872403539,2,"{'rsi': np.True_, 'macd': False, 'volume': np.True_, 'range': False}",2.2371089668735844,EOD,447.4217933747169,20000
CHOLAFIN,2025-11-26,1715.7,759,48.8188976377955,0.05881391817297299,-0.0007363813787960461,3.0,65.94724220623493,3,"{'rsi': np.True_, 'macd': True, 'volume': np.True_, 'range': False}",-0.08159934720522766,EOD,-16.319869441045533,20000
COALINDIA,2025-11-26,378.05,853,50.42253521126771,0.002544133729202258,0.02213565732711916,3.3333333333333335,63.97515527950344,2,"{'rsi': np.True_, 'macd': False, 'volume': np.True_, 'range': False}",0.7141912445443543,EOD,142.83824890887087,20000
COFORGE,2025-11-26,1879.9,848,54.76190476190481,1.7587598356703893,1.2181411463919023,0.0,92.95774647887326,2,"{'rsi': np.True_, 'macd': True, 'volume': np.False_, 'range': False}",0.638331826160966,EOD,127.6663652321932,20000
CROMPTON,2025-11-26,270.5,798,46.64879356568366,-0.11580114623177451,-0.020621662083603134,15.294117647058824,42.5414364640886,3,"{'rsi': np.True_, 'macd': False, 'volume': np.True_, 'range': True}",1.072088724584095,EOD,214.417744916819,20000
CUMMINSIND,2025-11-26,4419.1,693,51.362559241706286,-0.7396858308493393,0.28791465709861364,2.0689655172413794,61.20760959470656,2,"{'rsi': np.True_, 'macd': False, 'volume': np.True_, 'range': False}",0.1312484442533383,EOD,26.249688850667656,20000
DABUR,2025-11-26,523.45,565,54.39024390243904,0.18190549623159313,0.003385337092532331,0.0,77.33333333333424,2,"{'rsi': np.True_, 'macd': True, 'volume': np.False_, 'range': False}",0.19104021396503965,EOD,38.208042793007934,20000
