date,stock,strategy,rsi,range_position,entry_price,option_type,pnl,exit_reason,exit_pct
2025-12-16,APOLLOHOSP,B_PE_LOW,44.734299516908216,2.0491803278688523,7085.5,PE,121.37463834591773,EOD,0.6068731917295886
2025-12-16,ASIANPAINT,B_PE_LOW,45.31590413943359,27.872340425532688,2790.3,PE,25.803677023978523,EOD,0.1290183851198926
2025-12-16,AUBANK,B_PE_LOW,45.956232159847744,30.100334448160442,981.75,PE,18.33460656990254,EOD,0.0916730328495127
2025-12-16,AXISBANK,B_PE_LOW,42.63038548752841,0.0,1229.5,PE,211.46807645384303,EOD,1.0573403822692151
2025-12-16,BAJAJFINSV,B_PE_LOW,53.421787709497124,38.8571428571426,2058.6,PE,149.61624404935043,EOD,0.748081220246752
2025-12-16,BANKINDIA,B_PE_LOW,53.757225433525946,37.921348314606554,140.89,PE,158.98928241890096,EOD,0.7949464120945047
2025-12-16,BDL,B_PE_LOW,52.169720347155256,19.021739130434767,1368.1,PE,178.3495358526397,EOD,0.8917476792631985
2025-12-16,BIOCON,B_PE_LOW,53.46153846153846,35.55555555555606,389.05,PE,123.37745791029315,EOD,0.6168872895514657
2025-12-16,CHOLAFIN,B_PE_LOW,52.78688524590169,32.38866396761158,1730.9,PE,339.7076665318631,EOD,1.6985383326593155
2025-12-16,COFORGE,B_PE_LOW,49.31034482758624,38.90410958904122,1861.7,PE,-163.2916151904154,EOD,-0.816458075952077
2025-12-16,COLPAL,B_PE_LOW,54.08252853380164,32.40556660039786,2178.3,PE,128.54060505899093,EOD,0.6427030252949547
2025-12-16,DELHIVERY,B_PE_LOW,53.12500000000005,30.84112149532724,404.3,PE,44.52139500370899,EOD,0.22260697501854496
2025-12-16,DMART,B_PE_LOW,54.794520547945275,32.15339233038366,3890.9,PE,173.73872368860768,EOD,0.8686936184430384
2025-12-16,EXIDEIND,B_PE_LOW,52.53940455341506,35.29411764705878,369.5,PE,173.20703653586173,EOD,0.8660351826793087
2025-12-16,GAIL,B_PE_LOW,53.290676416819004,38.66171003717446,169.48,PE,-16.521123436398774,EOD,-0.08260561718199387
2025-12-16,GMRAIRPORT,B_PE_LOW,51.48771021992239,16.535433070866386,103.73,PE,-104.11645618432314,EOD,-0.5205822809216157
2025-12-16,GODREJPROP,B_PE_LOW,54.661921708185034,36.86354378818726,2052.0,PE,292.3976608187134,EOD,1.461988304093567
2025-12-16,HAL,B_PE_LOW,54.5057562524811,36.18951612903196,4294.9,PE,45.63552119955888,EOD,0.2281776059977944
2025-12-16,HCLTECH,B_PE_LOW,45.18716577540115,9.254498714652755,1653.0,PE,0.0,EOD,0.0
2025-12-16,HDFCLIFE,B_PE_LOW,52.890792291220606,31.831831831832286,777.7,PE,396.0396039603983,EOD,1.9801980198019917
2025-12-16,HUDCO,B_PE_LOW,53.23349217154522,35.344827586207025,213.0,PE,240.37558685446035,EOD,1.2018779342723016
2025-12-16,ICICIPRULI,B_PE_LOW,54.38799076212479,35.379061371841225,649.6,PE,501.84729064039266,EOD,2.509236453201963
2025-12-16,IEX,B_PE_LOW,52.82101167315176,32.01320132013196,141.5,PE,141.3427561837456,EOD,0.7067137809187279
2025-12-16,IIFL,B_PE_LOW,53.13531353135312,38.30985915492932,571.0,PE,17.513134851138354,EOD,0.08756567425569177
2025-12-16,INDUSINDBK,B_PE_LOW,53.49922239502335,34.82587064676613,850.0,PE,-49.41176470588021,EOD,-0.24705882352940106
2025-12-16,IREDA,B_PE_LOW,46.21513944223119,33.490566037735256,134.07,PE,444.5438949802285,EOD,2.2227194749011425
2025-12-16,JINDALSTEL,B_PE_LOW,54.51055662188103,34.78260869565217,1021.0,PE,266.40548481880336,EOD,1.3320274240940166
2025-12-16,JSWSTEEL,B_PE_LOW,53.92953929539301,22.62295081967243,1095.4,PE,226.40131458827992,EOD,1.1320065729413995
2025-12-16,JUBLFOOD,B_PE_LOW,52.07253886010367,23.622047244094542,566.5,PE,225.94880847308355,EOD,1.1297440423654177
2025-12-16,KFINTECH,B_PE_LOW,44.03292181069952,28.426395939086923,1037.9,PE,250.50582907794583,EOD,1.2525291453897291
2025-12-16,KPITTECH,B_PE_LOW,52.25225225225225,8.333333333333009,1183.1,PE,300.9044036852291,EOD,1.5045220184261456
2025-12-16,LICHSGFIN,B_PE_LOW,53.856041131105414,30.35714285714355,531.2,PE,180.7228915662719,EOD,0.9036144578313594
2025-12-16,LODHA,B_PE_LOW,54.121863799283176,33.98692810457556,1089.4,PE,403.8920506700936,EOD,2.019460253350468
2025-12-16,LUPIN,B_PE_LOW,45.4778704297627,37.27272727272645,2095.6,PE,106.89062798243768,EOD,0.5344531399121883
2025-12-16,MANAPPURAM,B_PE_LOW,48.99328859060399,35.238095238095674,283.5,PE,-35.273368606701936,EOD,-0.1763668430335097
2025-12-16,MANKIND,B_PE_LOW,44.7792571829012,5.394190871369126,2126.4,PE,188.11136192626032,EOD,0.9405568096313016
2025-12-16,MARICO,B_PE_LOW,53.65853658536585,32.8125,744.75,PE,40.28197381671702,EOD,0.2014098690835851
2025-12-16,MARUTI,B_PE_LOW,45.47283702213279,27.77777777777778,16419.0,PE,87.70327060113284,EOD,0.43851635300566416
2025-12-16,MAXHEALTH,B_PE_LOW,44.714459295261236,25.65445026177951,1083.8,PE,431.8139878206328,EOD,2.159069939103164
2025-12-16,MAZDOCK,B_PE_LOW,44.93975903614453,35.0,2433.5,PE,409.28703513458134,EOD,2.0464351756729067
2025-12-16,MFSL,B_PE_LOW,43.72693726937277,0.5586592178772226,1685.4,PE,296.66548000474666,EOD,1.483327400023733
2025-12-16,MUTHOOTFIN,B_PE_LOW,44.96056091148113,36.575052854122866,3842.3,PE,-45.805897509300536,EOD,-0.22902948754650268
2025-12-16,NATIONALUM,B_PE_LOW,44.44444444444453,36.170212765957295,275.8,PE,-195.79405366206902,EOD,-0.9789702683103452
2025-12-16,NAUKRI,B_PE_LOW,44.2105263157895,12.580645161290615,1351.0,PE,118.43079200592153,EOD,0.5921539600296076
2025-12-16,NBCC,B_PE_LOW,43.84180790960457,5.842696629213594,112.01,PE,217.83769306311916,EOD,1.0891884653155957
2025-12-16,NESTLEIND,B_PE_LOW,44.94518879415338,22.598870056497116,1245.1,PE,19.275560195965276,EOD,0.09637780097982637
2025-12-16,NHPC,B_PE_LOW,45.121951219512155,9.090909090909403,76.14,PE,241.66009981612493,EOD,1.2083004990806245
2025-12-16,NMDC,B_PE_LOW,45.18348623853206,17.08333333333315,77.13,PE,-5.186049526775634,EOD,-0.025930247633878172
2025-12-16,NTPC,B_PE_LOW,45.03464203233257,12.149532710280027,320.7,PE,6.236357966948721,EOD,0.031181789834743602
2025-12-16,NYKAA,B_PE_LOW,46.296296296296006,6.976744186046348,246.6,PE,-8.110300081104846,EOD,-0.04055150040552423
2025-12-16,OBEROIRLTY,B_PE_LOW,53.21336760925447,29.072681704260354,1631.6,PE,73.54743809757294,EOD,0.3677371904878647
2025-12-16,OFSS,B_PE_LOW,43.502824858757066,16.08187134502924,7857.5,PE,165.4470251352211,EOD,0.8272351256761056
2025-12-16,OIL,B_PE_LOW,42.6332288401254,16.24999999999943,401.4,PE,-179.37219730941817,EOD,-0.8968609865470909
2025-12-16,ONGC,B_PE_LOW,44.01024983984626,0.0,232.35,PE,-17.215407789971046,EOD,-0.08607703894985523
2025-12-16,PAYTM,B_PE_LOW,44.525547445255455,21.53846153846154,1290.5,PE,158.07826423866436,EOD,0.7903913211933218
2025-12-16,PETRONET,B_PE_LOW,54.84848484848485,34.07407407407424,267.6,PE,149.47683109118086,EOD,0.7473841554559043
2025-12-16,PFC,B_PE_LOW,53.347732181425506,32.69230769230779,338.05,PE,-47.33027658630111,EOD,-0.23665138293150556
2025-12-16,PIIND,B_PE_LOW,45.8288190682558,10.313901345291297,3237.4,PE,-211.28065731759943,EOD,-1.056403286587997
2025-12-16,PNB,B_PE_LOW,53.45060893098779,27.906976744186114,117.91,PE,-57.67110508014646,EOD,-0.2883555254007323
2025-12-16,POLICYBZR,B_PE_LOW,54.7502448579823,27.574171029668353,1847.6,PE,398.35462221259723,EOD,1.9917731110629862
2025-12-16,POWERINDIA,B_PE_LOW,54.34782608695652,31.03448275862069,19380.0,PE,10.319917440660474,EOD,0.05159958720330237
2025-12-16,PPLPHARMA,B_PE_LOW,53.02713987473911,36.78756476683966,170.24,PE,162.12406015037539,EOD,0.810620300751877
